"SFG","Coil","Sheet","Length","Breadth","Batch","wastage","fromStock","Purchase","Lead.Times","Cost","Remarks"
"870-0174","","2030033","1820","1220","NA","23.4147000540443","0","324.360000000032","30","198",""
"870-0174","","2030033","2440","1220","MKO995","42.8748992206396","200","0","30","0",""
"870-0177","2011180","2010370","2500","1250","NA","2.17792","0","43.0000000000155","30","44.375",""
"870-62848","2011180","2010370","2500","1250","NA","2.17792","0","48.0000000000307","30","44.375",""
"870-26647","","2030033","2440","1220","NA","5.5025530771298","0","13.0000000000062","30","198",""
"870-23577A","","2030590","2000","1220","NA","17.4311475409836","0","1024","30","198",""
"870-27104","2011180","2010370","2500","1250","NA","6.704","0","100","30","44.375",""
"870-27105A","2011180","2010370","2500","1250","NA","14.130496","0","110.999999999988","30","44.375",""
"870-17616","2011180","2010370","2500","1250","NA","43.311616","0","818.000000000376","30","44.375",""
"870-17617","2011180","2010370","2500","1250","NA","9.943552","0","121.999999999932","30","44.375",""
"870-26788","","2030003","2500","1000","NA","19.2","0","40.9999999999984","30","198",""
"870-26618","","2030003","2500","1000","NA","30.03472","0","87.0000000000244","30","198",""
"870-26692B","","2030001","2500","1220","NA","5.69209836065574","0","25","30","198",""
"870-26693A","","2030003","2500","1000","NA","5.42752","0","8","30","198",""
"870-26684A","","2040198","2500","1250","NA","3.461824","0","13.0000000000062","30","240",""
"870-26687A","","2030003","2500","1000","NA","5.95","0","32","30","198",""
"870-26682A","","2040198","2500","1250","NA","2.6272","0","8.53260869565358","30","240",""
"870-27140A","","2030003","2500","1000","NA","13.136","0","699.999999999475","30","198",""
"870-0178A","","2030033","2500","925","NA","13.3044324324324","0","96.9999999999573","30","198",""
"870-0179A","","2030001","2500","1220","NA","10.0609344262295","0","17.0000000000014","30","198",""
"870-24856B","","2040198","2500","1250","NA","8.167168","0","12.0000000000077","30","240",""
"870-94243A","2011180","2010370","2500","1250","NA","16.77952","0","121.999999999932","30","44.375",""
"870-11410C","","2110002","2000","1250","MKO1000","10.021888","400","0","35","0",""
"870-11410C","","2110002","2500","1250","MKO999","10.021888","300.000000000117","0","35","0",""
"870-11410C","2110006","2110002","2500","1250","NA","10.021888","0","1062.96858071563","35","45.875",""
"S1A81002D","","2021163","1420","380","NA","0","0","635.378999999827","30","33.5",""
"870-10777D","","2110001","1970","1250","MKO1004","5.73352284263959","400","0","30","0",""
"870-10777D","","2110001","2000","1219","MKO1005","4.7862182116489","500","0","30","0",""
"870-10777D","","2110001","2500","1250","MKO1003","7.14752","300.000000000117","0","30","0",""
"870-10777D","2110015","2110001","2500","1250","NA","7.14752","0","743.28371242652","30","45.875",""
