Material.Code,Plant,Batch,RM.Stock.with.Sizes..Length...Breadth.,Breadth,Thickness,Density,Ware.house.Stock,End.Band,Moving.Average.Price,Lead.Time,Sub.contractor.Stock,Min.Order.Quantity.data
2010370,1001,MKO990,2500,1250,2,0.00000785,,0,46,30,,
2011180,1001,MKO991,,1250,2,0.00000785,,0,43,30,,
2030001,1001,MKO992,2500,1220,1.2,0.0000028,,0,198,30,,
2030003,1001,MKO993,2500,1000,2,0.0000028,,0,198,30,,
2030033,1001,MKO994,1820,1250,1.5,0.0000028,,0,198,30,,
2030033,1001,MKO995,2440,1220,1.5,0.0000028,200,0,198,30,,
2030033,1001,MKO996,2500,925,1.5,0.0000028,,0,198,30,,
2030590,1001,MKO997,2000,1220,3,0.0000028,,0,198,30,,
2040198,1001,MKO998,2500,1250,1,0.00000785,,0,240,30,,
2110002,1001,MKO999,2500,1250,2,0.00000785,300,0,55,35,,
2110002,1001,MKO1000,2000,1250,2,0.00000785,400,0,55,35,,
2110006,1001,MKO1001,,1250,2,0.00000785,,0,44.5,35,,
2021163,1001,MKO1002,1420,380,1.5,0.00000785,,0,33.5,30,,
2110001,1001,MKO1003,2500,1250,1.5,0.00000785,300,0,55,30,,
2110001,1001,MKO1004,1970,1250,1.5,0.00000785,400,0,55,30,,
2110001,1001,MKO1005,2000,1219,1.5,0.00000785,500,0,55,30,,
2110015,1001,MKO1006,,1250,1.5,0.00000785,,0,44.5,30,,
