"","SFG","Sheet","Coil","Length","Breadth","inStock","noStock"
"1","04442031AA ","2021141","","1580","305",3729.90599999889,0
"2","04442032AA","2021141","","1580","305",3729.90599999889,0
"3","04442127AA ","2020009","","1035","465",899.999999999827,30142.2375000169
"4","870-10728E","2110002","","2650","234",1333.2149999999,0
"5","870-10733D","2110001","","2000","234",899.999999999824,0
"6","870-10733D","2110001","","2500","234",1657.00000000041,0
"7","870-10733D","2110001","2110015","1970","1250",4172.56944444244,0
"8","870-10734D","2110001","","1970","234",2209.00000000073,0
"9","870-10734D","2110001","2110015","1970","1250",4082.91132479029,0
"10","870-10777D","2110001","","1050","234",1584.76500000092,0
"11","870-11355A","2021127","","2500","1250",1425.18939393961,0
"12","870-11356A","2021127","","2500","1250",1425.18939393961,0
"13","870-11401B","2110001","","1050","234",792.382500000461,0
"14","870-11406","2020002","2021114","2000","415",4282.80000000001,0
"15","870-11407","2020002","","2000","415",3240.00000000051,0
"16","870-11407","2020002","2021114","2000","415",1042.79999999951,0
"17","870-11410C","2110002","","2650","234",592.539999999958,0
"18","870-11538","2020005","","1010","1260",684.022500000445,0
"19","870-11759A","2020404","","2500","1250",1125.00000000027,6937.49999999569
"20","870-11760A","2020010","","2500","1250",995.999999999222,2363.37500000248
"21","870-11761","2020194","","2500","1250",428.000000000354,1587.62499999864
"22","S1A80792","2021141","","1580","305",1554.12749999906,0
"23","S1A85168","2021141","","1420","234",976.999999999214,0
"24","S1A85168","2021141","","1580","305",137.201112616251,0
